Node,X,Y
1,16447.9,-551.269
2,678.358,430.697
3,748.339,414.341
4,659.762,436.075
5,747.389,415.805
6,653.408,440.349
7,739.756,419.307
8,644.879,446.013
9,729.901,423.518
10,634.864,453.311
11,718.183,428.386
12,623.636,462.545
13,704.697,434.039
14,611.099,473.608
15,689.272,440.933
16,596.755,485.991
17,671.72,449.462
18,579.97,498.927
19,651.69,459.419
20,560.414,511.859
21,631.064,471.397
22,539.811,525.209
23,609.35,484.482
24,517.347,538.503
25,586.528,498.657
26,493.131,551.862
27,562.535,513.856
28,467.309,565.336
29,537.255,529.815
30,440.16,579.079
31,510.641,546.194
32,411.862,593.285
33,482.825,562.844
34,382.366,607.857
35,453.424,579.447
36,350.804,621.541
37,421.67,594.906
38,317.049,633.458
39,388.596,609.905
40,282.203,644.19
41,354.672,624.47
42,246.6,653.972
43,319.816,638.249
44,210.226,662.776
45,283.841,650.672
46,173.017,670.395
47,246.799,661.449
48,134.928,676.191
49,208.839,670.433
50,96.2859,680.356
51,170.192,677.618
52,57.1236,682.229
53,130.918,682.866
54,17.654,682.184
55,91.268,685.659
56,-21.968,680.276
57,51.3644,686.975
58,-61.5995,676.975
59,11.4228,686.406
60,-100.876,671.528
61,-28.0551,683.194
62,-139.438,663.675
63,-66.8773,678.125
64,-177.245,654.291
65,-104.869,670.307
66,-214.607,644.136
67,-142.124,660.526
68,-251.659,633.155
69,-178.785,648.638
70,-287.85,619.739
71,-214.79,635.359
72,-321.977,601.389
73,-250.145,621.819
74,-353.616,578.397
75,-284.898,608.054
76,-381.619,551.974
77,-318.494,592.393
78,-406.732,524.28
79,-350.797,574.416
80,-430.251,496.543
81,-381.876,554.537
82,-452.054,468.378
83,-412.192,533.027
84,-472.118,439.911
85,-442.282,510.264
86,-489.619,410.751
87,-471.684,485.626
88,-503.046,380.663
89,-499.82,458.489
90,-512.523,350.746
91,-526.924,428.756
92,-518.018,322.174
93,-551.914,396.022
94,-520.617,295.915
95,-574.708,360.187
96,-522.001,272.477
97,-594.22,321.145
98,-523.395,251.563
99,-609.568,279.36
100,-525.861,232.712
101,-620.057,235.882
102,-530.246,215.006
103,-624.845,192.033
104,-535.888,197.251
105,-623.787,149.229
106,-542.564,178.488
107,-617.299,108.631
108,-549.712,157.955
109,-607.224,70.724
110,-557.642,135.171
111,-594.786,35.9019
112,-565.339,110.146
113,-580.228,4.39166
114,-571.004,83.0497
115,-564.358,-23.9935
116,-573.432,54.5147
117,-547.742,-49.7956
118,-572.437,25.3632
119,-531.113,-73.6934
120,-568.956,-3.94168
121,-513.763,-95.5992
122,-563.937,-33.5565
123,-495.402,-114.96
124,-557.736,-63.8321
125,-476.881,-131.593
126,-549.863,-94.8536
127,-459.036,-146.131
128,-539.962,-126.416
129,-442.423,-159.177
130,-527.427,-158.045
131,-426.689,-170.565
132,-511.274,-188.866
133,-411.599,-180.166
134,-491.132,-218.193
135,-397.417,-188.293
136,-467.3,-245.47
137,-385.107,-196.408
138,-441.151,-270.599
139,-374.654,-205.239
140,-413.001,-292.677
141,-365.634,-215.518
142,-384.411,-311.846
143,-358.055,-227.982
144,-356.477,-328.37
145,-351.568,-242.994
146,-330.071,-342.64
147,-345.101,-259.962
148,-304.927,-354.527
149,-337.426,-277.934
150,-281.038,-364.523
151,-328.694,-296.452
152,-258.675,-372.573
153,-318.388,-314.655
154,-237.697,-379.266
155,-305.922,-330.987
156,-217.906,-385.431
157,-290.957,-344.099
158,-199.03,-391.811
159,-274.186,-354.358
160,-180.428,-397.743
161,-257.092,-362.565
162,-161.962,-401.062
163,-241.187,-370.992
164,-143.797,-401.106
165,-226.159,-380.51
166,-126.38,-398.862
167,-211.082,-390.22
168,-110.029,-394.555
169,-195.203,-398.009
170,-94.7724,-388.034
171,-178.674,-402.69
172,-80.6452,-378.85
173,-162.076,-404.128
174,-68.1921,-367.73
175,-146.124,-403.333
176,-57.5234,-355.447
177,-130.99,-400.311
178,-48.5326,-342.804
179,-116.794,-395.68
180,-40.9081,-330.077
181,-103.622,-389.254
182,-34.2849,-316.673
183,-91.5215,-381.699
184,-28.6089,-303.706
185,-80.6167,-372.951
186,-23.509,-290.785
187,-70.6843,-363.962
188,-18.8382,-278.394
189,-61.8396,-353.79
190,-14.5214,-265.813
191,-54.7467,-342.952
192,-10.537,-253.298
193,-49.1472,-331.212
194,-6.69501,-240.463
195,-44.888,-318.559
196,-2.89249,-227.687
197,-42.3428,-305.161
198,1.08057,-214.988
199,-41.5967,-290.582
200,5.63937,-202.066
201,-42.4405,-273.9
202,10.9078,-189.041
203,-45.2831,-255.352
204,16.175,-176.81
205,-49.5668,-234.755
206,21.2008,-165.932
207,-54.3309,-212.642
208,25.4862,-156.786
209,-58.6259,-189.29
210,28.5343,-149.291
211,-61.7881,-165.267
212,29.8879,-143.622
213,-63.4418,-141.447
214,29.0366,-139.255
215,-63.4495,-118.302
216,26.0176,-135.377
217,-61.6874,-96.3092
218,21.3923,-130.927
219,-58.2729,-75.6446
220,15.9162,-125.184
221,-53.6174,-56.6177
222,10.3077,-118.338
223,-48.2374,-39.7797
224,5.13808,-110.511
225,-42.8307,-24.6267
226,0.950539,-101.57
227,-37.717,-11.1043
228,-1.52924,-91.8918
229,-33.6568,1.14502
230,-1.50917,-81.343
231,-30.3663,12.8875
232,1.86205,-69.467
233,-28.271,24.1196
234,8.16324,-56.8668
235,-27.942,33.6963
236,17.028,-43.9166
237,-28.5427,41.1326
238,27.8168,-30.0273
239,-29.28,46.2585
240,39.2326,-15.255
241,-29.3889,48.816
242,50.4678,0.239975
243,-27.906,49.1705
244,60.8988,15.9157
245,-24.2531,47.9324
246,70.356,31.1213
247,-18.2608,45.7404
248,78.7695,45.2753
249,-10.2942,42.9989
