id,x,y,z
Node1,-33.01429715223808,-5.391695015432375,-292.1832395198341
Node2,-16.29964139214919,-35.42319038776749,-264.187035231477
Node3,61.071676419971034,-22.645789135137274,-217.41275900497502
Node4,63.33015162239495,-21.93421572568267,-196.1844037858121
Node5,81.67140647787144,-51.60757288176123,-149.01983175126713
Node6,109.8933107064255,-26.97281539690631,-129.34986489997215
Node7,112.79663379366535,-0.13991182534565402,-61.51134123198346
Node8,112.23564759710743,-29.700451362109355,-70.96135668852253
Node9,104.69316959662471,-8.525658656151922,46.043877700191004
Node10,85.89906127636429,13.459777531488356,-10.162222206594562
Node11,73.02387632170809,-22.901782719541487,13.909080973567292
Node12,95.99638744179397,-70.35350902415851,-52.93770957455356
Node13,130.84354516634696,-95.18932262625883,-82.9422454297305
Node14,122.94009548517982,-48.6069535901683,-14.702623742417028
Node15,78.59195550407873,-10.267815695030773,-48.69665374703232
Node16,58.28497962270869,-24.85469683513407,-104.5513668011823
Node17,43.43592240969319,-32.167968662604046,-137.2701259912452
Node18,4.733138033947384,-35.098539270099,-195.78950371140743
Node19,10.865557717936817,-38.117442628155054,-259.91943629816006
Node20,-22.039320655242765,-95.21685772983605,-267.3288016184801
Node21,-5.538363151471424,-123.39947297189016,-202.34204220863703
Node22,19.01584634773945,-128.46414218490685,-132.16950214270608
Node23,44.2464903849364,-125.61692010821191,-104.93197106611163
Node24,99.31228216127974,-103.03290734921507,-37.34401562862276
Node25,30.88733265357122,-126.47535349890751,-34.31253299731007
Node26,46.17178256829989,-136.04722739375256,-47.234584671919045
Node27,39.54288417259873,-112.46599395690498,-7.96225652970057
Node28,25.847340567393132,-183.57338158931236,-49.003879078888026
Node29,11.928639131919796,-147.29103104227735,31.749868104164282
Node30,33.09185528358628,-109.96319218312617,58.58188665361047
Node31,5.72393752857189,-187.58001769811062,-22.725079134342902
Node32,-2.7794585816236053,-162.93225830010638,-71.7098465619392
Node33,13.295879644481532,-173.13620201812105,-112.22924756200084
Node34,-10.793684425776084,-127.10281373779749,-45.96320278191998
Node35,-5.838280710107279,-84.70040719306051,-126.64894034109857
Node36,-5.042593715838336,-78.96369026195923,-184.3318667045981
Node37,-7.453485339070067,-28.10589739122603,-302.58225266018576
Node38,-2.232980785757588,-50.84455126128346,-249.44190624293077
Node39,18.290703344050392,-39.37171214291002,-315.24209832322845
Node40,9.387311632910906,-81.33484165123683,-292.5245810006325
Node41,27.794977022197003,-20.120607994956668,-330.80416319993424
Node42,56.002366718265485,-33.60338019678285,-304.33832270146723
Node43,55.576010313704835,-79.68968467297928,-254.7518222904265
Node44,62.356034533452764,-96.23619453488291,-305.9273352818673
Node45,75.18750256662848,-49.10135525123344,-262.2989004726956
Node46,59.886278058604326,-51.44900058580165,-239.6659452587062
Node47,42.79118408243568,-64.05703942850492,-289.29180780843757
Node48,19.62155314577682,-104.24787416549803,-257.09632420296623
Node49,62.65231040474238,-101.05183648979536,-274.0158351412545
Node50,5.930858004927901,-109.98491616084354,-217.42627556137123
Node51,24.407119321707793,-83.12929691044027,-143.2316757783277
Node52,30.124006541681844,-120.36609885193614,-174.10772682184614
Node53,65.85871169021515,-83.72357637992583,-181.33951571846393
Node54,53.87306089085026,-94.17293635169597,-99.37856780339023
Node55,72.7777552831448,-83.49401797486844,-126.6148934560228
Node56,41.98753042999737,-63.34179574476261,-64.02896743943558
Node57,39.37712506857392,-59.27280313761954,38.528314579074724
Node58,11.437834806572242,-36.44593981372773,27.12111986333624
Node59,-36.67381407615318,-22.216235346672633,-50.67822423363788
Node60,-156.75791828444423,-25.011786155113963,-119.691121704448
Node61,-144.66812853283,26.02455658710146,-76.86788252892163
Node62,-128.54068639164223,16.499099497085727,-67.12733038236227
Node63,-56.649079101586004,34.54938989931527,36.68271999489048
Node64,-131.9283291565857,-15.33584481628241,-29.651490930741975
Node65,-127.96449804491674,24.706072746612517,-25.147637642173358
Node66,-175.2128705287787,-44.77161217613275,-64.25097109582813
Node67,-81.6523518577583,-20.117254517354116,-11.603579418938232
Node68,-132.8754873127473,-47.69021634717964,-103.73044244212781
Node69,-121.47115385067795,-17.254486152290873,-172.527617314006
Node70,-86.48661064643716,-44.68138818805896,-129.26439302900732
Node71,-106.1327431524946,-37.45851872578995,-220.02499433535908
Node72,-98.89521523140976,-11.387806121687335,-212.31098108433272
Node73,-72.64011463880341,-61.61618496250321,-247.4388237986536
Node74,-47.487622909436375,-96.41124595482826,-220.43220898677149
Node75,-63.18378897388815,-147.88126492758556,-203.53649567542382
Node76,-59.35379758858873,-135.30237337553416,-120.1613072197948
Node77,-55.068222447681826,-125.46685788321226,-151.49282078273478
Node78,-74.59805939981865,-142.03598906233364,-88.1560933559414
Node79,-55.26149930290382,-149.43632529258858,-106.5558174941876
Node80,-10.355119346967932,-41.9280922740677,-9.91546991144506
Node81,-9.34503073056212,-89.90353349537216,31.806299015393147
Node82,-53.525214530574914,-125.34205270171243,-62.195453367429025
Node83,2.9338287018333,-85.03320334666196,-17.060889760986562
Node84,-25.151592429216524,-95.15426085980725,-69.21349426653647
Node85,-87.85341761309606,-115.43044049556156,-151.2833568882172
Node86,-69.21761455928743,-97.69960482943532,-197.42785495001263
Node87,-73.67889383941913,-55.43259221124249,-223.08552700530316
Node88,-33.25539457422515,-59.786029324898166,-156.01298821733474
Node89,-33.72552125650682,67.7001809328874,-148.9318583490396
Node90,-9.700658612418563,73.90421451772681,-157.51914094647498
Node91,-42.786031913506584,65.57401433106727,-268.23886336728054
